Order ID,Order Date,Customer Name,Region,Product Category,Product Sub-Category,Product Name,Units Sold,Unit Price,Discount (%),Total Sales,Profit,Cost per Unit
ORD1000,2023-04-13,Customer 82,North,Furniture,Bookcases,3-Shelf Bookcase,4,86.98,0,347.92,91.56,64.09
ORD1001,2023-12-15,Customer 70,North,Office Supplies,Storage,Filing Cabinet,1,64.97,0.05,61.7215,17.7415,43.98
ORD1002,2023-09-28,Customer 4,South,Office Supplies,Storage,Filing Cabinet,8,302.85,0,2422.8,567.92,231.86
ORD1003,2023-04-17,Customer 21,West,Technology,Copiers,All-in-One Copier,4,479.46,0.1,1726.056,698.536,256.88
ORD1004,2023-03-13,Customer 49,North,Technology,Copiers,Color Copier 3000,1,370.27,0.2,296.216,94.906,201.31
ORD1005,2023-07-08,Customer 49,North,Office Supplies,Art,Markers Set,10,112.3,0,1123,543.5,57.95
ORD1006,2023-01-21,Customer 30,East,Furniture,Tables,Oak Table,7,153.43,0.25,805.5075,-45.0625,121.51
ORD1007,2023-04-13,Customer 21,East,Technology,Accessories,USB Hub,2,312.38,0.05,593.522,164.342,214.59
ORD1008,2023-05-02,Customer 32,South,Technology,Machines,Laminator,9,125.42,0.1,1015.902,118.512,99.71
ORD1009,2023-08-03,Customer 100,North,Furniture,Chairs,Comfort Seat,7,148.52,0.05,987.658,135.548,121.73
ORD1010,2023-11-27,Customer 73,East,Furniture,Furnishings,Wall Art,8,88.58,0.05,673.208,257.688,51.94
ORD1011,2023-03-29,Customer 72,East,Office Supplies,Storage,Plastic Storage Box,6,125.27,0.05,714.039,204.219,84.97
ORD1012,2023-04-10,Customer 12,North,Furniture,Tables,Workstation Pro,3,400.2,0.15,1020.51,169.59,283.64
ORD1013,2023-12-26,Customer 50,West,Office Supplies,Storage,Plastic Storage Box,9,433.17,0,3898.53,1021.05,319.72
ORD1014,2023-06-01,Customer 15,East,Office Supplies,Art,Sketch Pad,5,228.69,0.15,971.9325,398.9325,114.6
ORD1015,2023-05-11,Customer 93,East,Office Supplies,Paper,Printer Paper,5,424,0.2,1696,184.15,302.37
ORD1016,2023-05-30,Customer 20,East,Furniture,Chairs,Executive Leather,6,254.53,0,1527.18,267,210.03
ORD1017,2023-11-05,Customer 40,South,Furniture,Tables,Workstation Pro,2,61.11,0.15,103.887,7.867,48.01
