order_id,order_date,customer_name,region,product_category,product_sub-category,product_name,units_sold,unit_price,discount_(%),revenue,profit,cost_per_unit,year,month,quarter,month_name
ORD1000,13-04-23,Customer 82,North,Furniture,Bookcases,3-Shelf Bookcase,4,86.98,0,347.92,91.56,64.09,2023,4,2,April
ORD1001,15-12-23,Customer 70,North,Office Supplies,Storage,Filing Cabinet,1,64.97,0.05,61.7215,17.7415,43.98,2023,12,4,December
ORD1002,28-09-23,Customer 4,South,Office Supplies,Storage,Filing Cabinet,8,302.85,0,2422.8,567.92,231.86,2023,9,3,September
ORD1003,17-04-23,Customer 21,West,Technology,Copiers,All-in-One Copier,4,479.46,0.1,1726.056,698.536,256.88,2023,4,2,April
ORD1004,13-03-23,Customer 49,North,Technology,Copiers,Color Copier 3000,1,370.27,0.2,296.216,94.906,201.31,2023,3,1,March
ORD1005,08-07-23,Customer 49,North,Office Supplies,Art,Markers Set,10,112.3,0,1123,543.5,57.95,2023,7,3,July
ORD1006,21-01-23,Customer 30,East,Furniture,Tables,Oak Table,7,153.43,0.25,805.5075,-45.0625,121.51,2023,1,1,January
ORD1007,13-04-23,Customer 21,East,Technology,Accessories,USB Hub,2,312.38,0.05,593.522,164.342,214.59,2023,4,2,April
ORD1008,02-05-23,Customer 32,South,Technology,Machines,Laminator,9,125.42,0.1,1015.902,118.512,99.71,2023,5,2,May
ORD1009,03-08-23,Customer 100,North,Furniture,Chairs,Comfort Seat,7,148.52,0.05,987.658,135.548,121.73,2023,8,3,August
ORD1010,27-11-23,Customer 73,East,Furniture,Furnishings,Wall Art,8,88.58,0.05,673.208,257.688,51.94,2023,11,4,November
ORD1011,29-03-23,Customer 72,East,Office Supplies,Storage,Plastic Storage Box,6,125.27,0.05,714.039,204.219,84.97,2023,3,1,March
ORD1012,10-04-23,Customer 12,North,Furniture,Tables,Workstation Pro,3,400.2,0.15,1020.51,169.59,283.64,2023,4,2,April
ORD1013,26-12-23,Customer 50,West,Office Supplies,Storage,Plastic Storage Box,9,433.17,0,3898.53,1021.05,319.72,2023,12,4,December
ORD1014,01-06-23,Customer 15,East,Office Supplies,Art,Sketch Pad,5,228.69,0.15,971.9325,398.9325,114.6,2023,6,2,June
ORD1015,11-05-23,Customer 93,East,Office Supplies,Paper,Printer Paper,5,424,0.2,1696,184.15,302.37,2023,5,2,May
ORD1016,30-05-23,Customer 20,East,Furniture,Chairs,Executive Leather,6,254.53,0,1527.18,267,210.03,2023,5,2,May
ORD1017,05-11-23,Customer 40,South,Furniture,Tables,Workstation Pro,2,61.11,0.15,103.887,7.867,48.01,2023,11,4,November
ORD1018,15-09-23,Customer 98,South,Furniture,Furnishings,Desk Lamp,5,273.28,0.2,1093.12,207.57,177.11,2023,9,3,September
ORD1019,10-12-23,Customer 28,South,Office Supplies,Art,Markers Set,6,230.29,0.2,1105.392,196.152,151.54,2023,12,4,December
ORD1020,21-10-23,Customer 32,South,Furniture,Bookcases,3-Shelf Bookcase,10,285.88,0.2,2287.04,637.34,164.97,2023,10,4,October
ORD1021,11-07-23,Customer 10,North,Furniture,Chairs,ErgoChair X,6,54.01,0.05,307.857,114.237,32.27,2023,7,3,July
ORD1022,04-10-23,Customer 63,South,Office Supplies,Paper,Graph Paper,4,396.62,0.15,1348.508,449.548,224.74,2023,10,4,October
ORD1023,10-06-23,Customer 13,West,Technology,Machines,Laminator,8,434.64,0,3477.12,919.12,319.75,2023,6,2,June
ORD1024,10-11-23,Customer 83,North,Furniture,Furnishings,Wall Art,2,139.36,0.05,264.784,73.104,95.84,2023,11,4,November
ORD1025,22-01-23,Customer 18,West,Furniture,Bookcases,8-Cube Organizer,4,439.75,0,1759,606.68,288.08,2023,1,1,January
ORD1026,10-09-23,Customer 71,North,Furniture,Chairs,ErgoChair X,4,99.83,0.15,339.422,72.502,66.73,2023,9,3,September
ORD1027,24-08-23,Customer 52,North,Furniture,Furnishings,Desk Lamp,7,147.3,0.15,876.435,257.915,88.36,2023,8,3,August
ORD1028,11-12-23,Customer 90,West,Furniture,Tables,Glass Desk,4,484.98,0.2,1551.936,82.416,367.38,2023,12,4,December
ORD1029,18-02-23,Customer 8,East,Furniture,Chairs,Executive Leather,8,261.37,0.2,1672.768,512.048,145.09,2023,2,1,February
ORD1030,28-02-23,Customer 66,North,Furniture,Chairs,Executive Leather,2,344.1,0.05,653.79,212.43,220.68,2023,2,1,February
ORD1031,19-06-23,Customer 73,South,Office Supplies,Binders,Ring Binder,7,335.54,0.2,1879.024,274.834,229.17,2023,6,2,June
ORD1032,07-07-23,Customer 34,South,Office Supplies,Art,Sketch Pad,5,209.98,0.25,787.425,25.275,152.43,2023,7,3,July
ORD1033,28-09-23,Customer 59,East,Furniture,Chairs,Comfort Seat,10,499.26,0,4992.6,2368.3,262.43,2023,9,3,September
ORD1034,09-07-23,Customer 28,East,Furniture,Bookcases,3-Shelf Bookcase,4,197.37,0.05,750.006,234.206,128.95,2023,7,3,July
